Thank you so much, Chris. 	Cám ơn rất nhiều, Chris. 
So perhaps we could develop a strategy of change, which requires humility. And in my business as an architect, it's unfortunate the word "humility" and the word "architect" have not appeared in the same paragraph since "The Fountainhead." 	Vì vậy, có lẽ chúng ta cần phát triển chiến lược để thay đổi, mà đòi hỏi sự khiêm nhường. Và trong công việc của tôi- một kiến trúc sư, thật đáng tiếc khi từ "khiêm tốn" và "kiến trúc sư" không xuất hiện trong cùng một đoạn kể từ "The Fountainhead." 
So if anybody here has trouble with the concept of design humility, reflect on this -- it took us 5,000 years to put wheels on our luggage. 	Vì vậy, nếu bất cứ ai ở đây gặp rắc rối với khái niệm khiêm tốn trong thiết kế, hãy nhớ này - chúng ta đã mất 5.000 năm để biết sử dụng bánh xe của chúng ta. 
So, as Kevin Kelly pointed out, there is no endgame. 	Vì vậy, như Kevin Kelly đã chỉ ra, sẽ không có kết thúc. 
There is an infinite game, and we're playing in that infinite game. 	Đây là một trò chơi vô tận, và chúng ta đang chơi trong trò chơi vô tận đó. 
And so we call it "cradle to cradle," and our goal is very simple. 	Và chúng tôi gọi nó là "nôi trong nôi" và mục tiêu rất đơn giản 
This is what I presented to the White House. 	Đây là điều tôi trình bày với Nhà Trắng 
Our goal is a delightfully diverse, safe, healthy and just world, with clean air, clean water, soil and power -- economically, equitably, ecologically and elegantly enjoyed, period. 	Mục tiêu đặt ra là một thế giới đa dạng, an toàn, lành mạnh, công bằng với khí sạch, nước sạch, đất và năng lượng kinh tế, công bằng, sinh thái và được thưởng thức theo cách thanh lịch nhất. 
(Applause) What don't you like about this? 	(vỗ tay) Bạn không thích điều gì về thế giới như vậy? 
Which part of this don't you like? 	Phần nào mà bạn lại không thích? 
So we realized we want full diversity, even though it can be difficult to remember what De Gaulle said when asked what it was like to be President of France. 	Và chúng tôi nhận ra chúng tôi muốn đầy đủ sự đa dạng mặc dù có thể khó nhớ những gì mà De Gaulle nói khi được hỏi Tổng thống Pháp là thế nào 
He said, "What do you think it's like trying to run a country with 400 kinds of cheese?" 	Ông ấy nói, "Bạn nghĩ điều hành một đất nước có 400 loại phô mai sẽ như nào?" 
But at the same time, we realize that our products are not safe and healthy. 	Nhưng cùng lúc, chúng tôi nhận ra sản phẩm chúng tôi không an toàn và lành mạnh 
So we've designed products and we analyzed chemicals down to the parts per million. 	Vì vậy, chúng tôi đã tạo các sản phẩm và chúng tôi phân tích hóa chất tới phần triệu 
This is a baby blanket by Pendleton that will give your child nutrition instead of Alzheimer's later in life. 	Đây là chiếc chăn hãng Pendleton sẽ cung cấp con bạn dinh dưỡng thay vì Alzheimer lúc về già. 
We can ask ourselves, what is justice, and is justice blind, or is justice blindness? 	Chúng ta có thể tự hỏi, công lý là gì, và là công lý mù quáng, hay chỉ là sự mù quáng của công lý? 
And at what point did that uniform turn from white to black? 	Và từ khi nào mà bộ đồng phục chuyển từ trắng sang đen? 
Water has been declared a human right by the United Nations. 	Nước được Liên Hợp Quốc tuyên bố là quyền con người. 
Air quality is an obvious thing to anyone who breathes. 	Khí sạch là một điều thiết yếu đối với bất cứ ai thở. 
Is there anybody here who doesn't breathe? 	Có ai ở đây không thở không? 
Clean soil is a critical problem -- the nitrification, the dead zones in the Gulf of Mexico. 	Đất sạch là một vấn đề quan trọng- quá trình nitrat hóa, vùng chết ở Vịnh Mexico. 
A fundamental issue that's not being addressed. 	Một vấn đề cơ bản mà không được giải quyết 
We've seen the first form of solar energy that's beat the hegemony of fossil fuels in the form of wind here in the Great Plains, and so that hegemony is leaving. 	Chúng ta đã thấy dạng thứ nhất của năng lượng mặt trời đã vượt qua nhiên liệu hóa thạch dưới dạng gió ở đây trong Đại Bình nguyên, thế nên nguồn năng lượng chính sẽ thay đổi 
And if we remember Sheikh Yamani when he formed OPEC, they asked him, "When will we see the end of the age of oil?" 	Và nếu chúng ta nhớ đến Sheikh Yamani khi ông thành lập OPEC, họ hỏi ông, "Khi nào thời đại dầu mỏ sẽ kết thúc?" 
I don't know if you remember his answer, but it was, "The Stone Age didn't end because we ran out of stones." 	Tôi không chắc bạn có nhớ câu trả lời không, nhưng đó là, "Thời kỳ đồ đá không kết thúc vì chúng ta hết đá." 
We see that companies acting ethically in this world are outperforming those that don't. 	Chúng tôi thấy rằng các công ty làm việc có đạo đức hơn trong thế giới này thường vượt trội hơn 
We see the flows of materials in a rather terrifying prospect. 	Chúng tôi thấy dòng chảy của vật liệu đang trong một viễn cảnh khá tồi tệ 
This is a hospital monitor from Los Angeles, sent to China. 	Đây là một giám sát bệnh viện từ Los Angeles, và gửi đến Trung Quốc 
This woman will expose herself to toxic phosphorous, release four pounds of toxic lead into her childrens' environment, which is from copper. 	Người phụ nữ này sẽ tiếp xúc với photpho độc hại, giải phóng 1.8kg chì độc hại vào môi trường con cô ấy sống khi thu hồi đồng. 
On the other hand, we see great signs of hope. 	Mặt khác, chúng tôi cũng thấy nhiều hi vọng 
Here's Dr. Venkataswamy in India, who's figured out how to do mass-produced health. 	Đây là Tiến sĩ Venkataswamy từ Ấn Độ, người đã tìm ra cách chữa bệnh hàng loạt. 
He has given eyesight to two million people for free. 	Ông đã chữa bệnh thị lực cho hai triệu người miễn phí. 
We see in our material flows that car steels don't become car steel again because of the contaminants of the coatings -- bismuth, antimony, copper and so on. 	Chúng tôi thấy rằng thép của xe cũ không thể dùng làm xe mới nữa bởi vì các chất độc từ lớp mạ - bismuth, antimon, đồng và vân vân. 
They become building steel. 	Nó thành thép xây dựng. 
On the other hand, we're working with Berkshire Hathaway, Warren Buffett and Shaw Carpet, the largest carpet company in the world. 	Mặt khác, chúng tôi đang làm việc với Berkshire Hathaway, Warren Buffett và Shaw Carpet, công ty thảm lớn nhất thế giới. 
We've developed a carpet that is continuously recyclable, down to the parts per million. 	Chúng tôi đã tạo ra một tấm thảm có thể tái chế liên tục, xuống tới phần triệu các chất 
The upper is Nylon 6 that can go back to caprolactam, the bottom, a polyolephine -- infinitely recyclable thermoplastic. 	Phần trên là nylon 6 có thể trở về dạng caprolactam, phía dưới là poly-olephin - nhựa nhiệt dẻo có thể tái chế vô hạn 
Now if I was a bird, the building on my left is a liability. 	Bây giờ nếu tôi là chim, tòa nhà bên trái là của nợ. 
The building on my right, which is our corporate campus for The Gap with an ancient meadow, is an asset -- its nesting grounds. 	Tòa nhà bên phải, là khuôn viên của công ty chúng tôi cho The Gap với một đồng cỏ cổ, là một nơi có chứa nơi làm tổ cho nó. 
Here's where I come from. I grew up in Hong Kong, with six million people in 40 square miles. 	Đây là quê của tôi Tôi lớn lên ở Hồng Kông, với 6 triệu người trên 40 dặm vuông 
During the dry season, we had four hours of water every fourth day. 	Trong mùa khô, chúng tôi được 4 giờ nước, 4 ngày 1 lần. 
And the relationship to landscape was that of farmers who have been farming the same piece of ground for 40 centuries. 	Và điều thú vị về đất đai là những người nông dân đã canh tác cùng một mảnh đất trong 40 thế kỷ 
You can't farm the same piece of ground for 40 centuries without understanding nutrient flow. 	Bạn không thể canh tác cùng một mảnh đất trong 40 thế kỷ mà không hiểu về dòng chảy dinh dưỡng. 
My childhood summers were in the Puget Sound of Washington, among the first growth and big growth. 	Mùa hè thời bé của tôi là ở vịnh Puget, Washington, giữa những cái cây cổ thụ. 
My grandfather had been a lumberjack in the Olympics, so I have a lot of tree karma I am working off. 	Ông tôi từng là người đốn gỗ trong Olympics Vì vậy, tôi đang trả nghiệp cho nhiều cây. 
I went to Yale for graduate school, studied in a building of this style by Le Corbusier, affectionately known in our business as Brutalism. 	(tiếng cười) Tôi học đại học ở Yale và học trong một tòa theo phong cách của Le Corbusier, và gọi trong ngành của chúng tôi là Kiến trúc Brutalism 
If we look at the world of architecture, we see with Mies' 1928 tower for Berlin, the question might be, "Well, where's the sun?" 	Nếu chúng ta nhìn vào thế giới của kiến trúc, chúng ta thấy với tòa tháp 1928 của Mies cho Berlin, câu hỏi có thể là "Vậy, mặt trời ở đâu?" 
And this might have worked in Berlin, but we built it in Houston, and the windows are all closed. And with most products appearing not to have been designed for indoor use, this is actually a vertical gas chamber. 	Và dù có thể đã hoạt động ở Berlin, nhưng chúng tôi xây dựng nó ở Houston, với cửa sổ đóng hết Và với hầu hết các sản phẩm mà không được thiết kế để sử dụng trong nhà, đây thật ra là một buồng hơi ngạt dựng đứng 
When I went to Yale, we had the first energy crisis, and I was designing the first solar-heated house in Ireland as a student, which I then built -- which would give you a sense of my ambition. 	Khi đến Yale, chúng tôi gặp cuộc khủng hoảng năng lượng đầu tiên, tôi làm một ngôi nhà sưởi ấm bằng mặt trời đầu tiên ở Ireland khi là sinh viên, mà sau tôi xây- điều sẽ khiến bạn cảm nhận về tham vọng của tôi 
And Richard Meier, who was one of my teachers, kept coming over to my desk to give me criticism, and he would say, "Bill, you've got to understand- -- solar energy has nothing to do with architecture." 	Và Richard Meier, giáo viên của tôi liên tục đến bàn của tôi để chỉ trích và ông nói, "Bill, anh phải hiểu năng lượng mặt trời không liên quan gì đến kiến trúc. " 
I guess he didn't read Vitruvius. 	Tôi đoán ông đã không đọc Vitruvius. 
In 1984, we did the first so-called "green office" in America for Environmental Defense. 	Năm 1984, chúng tôi đã thực hiện cái gọi là "văn phòng xanh" đầu tiên ở Mỹ để bảo vệ môi trường. 
We started asking manufacturers what were in their materials. 	Chúng tôi bắt đầu hỏi nhà sản xuất có gì trong vật liệu của họ 
They said, "They're proprietary, they're legal, go away." 	Họ nói, "Chúng độc quyền và hợp pháp, biến đi." 
The only indoor quality work done in this country at that time was sponsored by R.J. Reynolds Tobacco Company, and it was to prove there was no danger from secondhand smoke in the workplace. 	Việc cải thiện điều kiện trong nhà duy nhất thực hiện ở đây lúc đó được tài trợ bởi công ty thuốc lá của R.J. Reynold để chứng minh không nguy hiểm từ khói thuốc ở nơi làm việc. 
So, all of a sudden, here I am, graduating from high school in 1969, and this happens, and we realize that "away" went away. 	Và đột nhiên, tôi ở đây, tốt nghiệp trung học năm 1969, và điều này xảy ra, và chúng ta nhận ra rằng "đi" đã biến mất 
Remember we used to throw things away, and we'd point to away? 	Nhớ khi chúng ta chỉ đơn giản là "vứt rác đi" không? 
And yet, NOAA has now shown us, for example -- you see that little blue thing above Hawaii? 	Và rồi NOAA đã cho ta thấy: bạn thấy thứ nhỏ nhỏ màu xanh trên Hawaii chứ? 
That's the Pacific Gyre. 	Đảo rác Thái Bình Dương đấy 
It was recently dragged for plankton by scientists, and they found six times as much plastic as plankton. 	Gần đây nó được kiểm tra lượng phù du trong nước và họ đã tìm thấy lượng nhựa nhiều gấp sáu lần sinh vật phù du. 
When asked, they said, "It's kind of like a giant toilet that doesn't flush." 	Khi được hỏi, họ nói, "Nó như một nhà vệ sinh khổng lồ không xả được nước." 
Perhaps that's away. 	Có lẽ đó là "bỏ đi". 
So we're looking for the design rules of this -- this is the highest biodiversity of trees in the world, Irian Jaya, 259 species of tree, and we described this in the book, "Cradle to Cradle." 	Vì vậy, chúng tôi đang tìm các quy tắc thiết kế đây là nơi có sự đa dạng cây nhất trên thế giới, Irian Jaya, 259 loài cây, và chúng tôi đã mô tả điều đó trong cuốn "Nôi trong nôi" 
The book itself is a polymer. It is not a tree. 	Cuốn sách làm từ polyme Nó không phải là một cái cây 
That's the name of the first chapter -- "This Book is Not a Tree." 	Đó là tên chương đầu "Cuốn sách này không phải là một cái cây." 
Because in poetics, as Margaret Atwood pointed out, "we write our history on the skin of fish with the blood of bears." 	Bởi vì như trong thơ, Margaret Atwood đã chỉ ra, "chúng ta viết lại lịch sử trên da cá bằng máu gấu " 
And with so much polymer, what we really need is technical nutrition, and to use something as elegant as a tree -- imagine this design assignment: Design something that makes oxygen, sequesters carbon, fixes nitrogen, distills water, accrues solar energy as fuel, makes complex sugars and food, creates microclimates, changes colors with the seasons and self-replicates. 	Và với lượng lớn polymer, điều ta thực sự cần là xử lý chất, và để sử dụng một cái gì đó thanh lịch như một cái cây - Hãy tưởng tượng nhiệm vụ như thế này: Chế tạo một thứ tạo ra O2, hút CO2 giải độc nitơ, lọc nước, tích lũy năng lượng mặt trời làm năng lượng làm ra đường và thực phẩm, tạo ra vi khí hậu, thay đổi màu sắc theo mùa và tự sinh sản. 
Well, why don't we knock that down and write on it? 	Chà, tại sao ta không chặt nó xuống và viết lên? 
(Laughter) So, we're looking at the same criteria as most people -- you know, can I afford it? 	(tiếng cười) Vì vậy, chúng tôi đang xem xét các tiêu chí tương tự ở hầu hết mọi người: Có thể chi trả không? 
Does it work? Do I like it? 	Nó có hoạt động không? Họ thích nó không? 
We're adding the Jeffersonian agenda, and I come from Charlottesville, where I've had the privilege of living in a house designed by Thomas Jefferson. 	Chúng tôi đang thêm kiểu kiến trúc Jeffersonian, và từ Charlottesville, nơi tôi được sống trong một ngôi nhà thiết kế bởi Thomas Jefferson 
We're adding life, liberty and the pursuit of happiness. 	Chúng ta đang thêm sự sống, tự do và mưu cầu hạnh phúc. 
Now if we look at the word "competition," I'm sure most of you've used it. 	Giờ nếu chúng ta nhìn vào từ "cạnh tranh" Tôi tin chắc đa số các bạn đã dùng nó 
You know, most people don't realize it comes from the Latin competere, which means strive together. 	Hầu hết mọi người không biết nó đến từ từ "competere" trong Latin, nghĩa là cùng nhau phấn đấu. 
It means the way Olympic athletes train with each other. 	Nó có nghĩa là cách các vận động viên Olympic tập luyện với nhau 
They get fit together, and then they compete. 	Họ tập với nhau, và sau đó họ thi đấu. 
The Williams sisters compete -- one wins Wimbledon. 	Chị em nhà Williams thi đấu, một người thắng giải Wimbledon 
So we've been looking at the idea of competition as a way of cooperating in order to get fit together. 	Vì vậy, chúng tôi đã xem xét ý tưởng của cuộc thi như một cách hợp tác để khỏe mạnh với nhau 
And the Chinese government has now -- I work with the Chinese government now -- has taken this up. 	Và chính phủ Trung Quốc đã có, tôi cũng đang làm việc với chính phủ Trung Quốc đã đồng ý ghi nhận điều này 
We're also looking at survival of the fittest, not in just competition terms in our modern context of destroy the other or beat them to the ground, but really to fit together and build niches and have growth that is good. 	Chúng tôi cũng xem sức sống của kẻ mạnh nhất không chỉ trong cạnh tranh trong xã hội hiện đại của việc đánh bại người khác hay hạ gục người khác, mà còn trong lúc tập với nhau và xây dựng liên kết và có sự tăng trưởng tốt. 
Now most environmentalists don't say growth is good, because, in our lexicon, asphalt is two words: assigning blame. 	Giờ đa số các nhà môi trường không nói tăng trưởng là tốt, bởi vì, trong từ điển của chúng ta, nhựa đường là hai từ: "gán tội" 
But if we look at asphalt as our growth, then we realize that all we're doing is destroying the planetary's fundamental underlying operating system. 	Nhưng nếu xem nhựa đường là sự phát triển của chúng ta, thì ta nhận ra rằng mọi thứ chúng ta đang làm là phá hủy hệ điều hành cơ bản của hành tinh. 
So when we see E equals mc squared come along, from a poet's perspective, we see energy as physics, chemistry as mass, and all of a sudden, you get this biology. 	Vậy nên khi ta thấy E = mc2 xuất hiện, từ cách nhìn của nhà thơ, ta thấy năng lượng theo vật lý, hóa học theo khối lượng, và đột nhiên, bạn có món sinh học này. 
And we have plenty of energy, so we'll solve that problem, but the biology problem's tricky, because as we put through all these toxic materials that we disgorge, we will never be able to recover that. 	Chúng ta có nhiều năng lượng, chúng ta sẽ giải quyết vấn đề đó, nhưng vấn đề sinh học lại khó, vì khi chúng ta bỏ đi tất cả những vật liệu độc hại mà chúng ta ghê tởm chúng ta sẽ không bao giờ có thể lấy lại 
And as Francis Crick pointed out, nine years after discovering DNA with Mr. Watson, that life itself has to have growth as a precondition -- it has to have free energy, sunlight and it needs to be an open system of chemicals. 	Và như Francis Crick đã chỉ ra, chín năm sau khi phát hiện DNA với ông Watson, rằng cuộc sống phải có sự phát triển như một điều kiện tiên quyết - nó phải có năng lượng miễn phí, ánh sáng mặt trời và nó phải là một hệ thống hóa chất mở. 
So we're asking for human artifice to become a living thing, and we want growth, we want free energy from sunlight and we want an open metabolism for chemicals. 	Vậy nên chúng ta muốn thiết bị giống như một sinh vật sống, chúng ta muốn tiến lên, chúng ta muốn năng lượng từ mặt trời và ta muốn sự trao đổi chất mở cho các hóa chất. 
Then, the question becomes not growth or no growth, but what do you want to grow? 	Nên câu hỏi là không còn là phát triển hay không phát triển mà là bạn muốn phát triển cái gì? 
So instead of just growing destruction, we want to grow the things that we might enjoy, and someday the FDA will allow us to make French cheese. 	Để thay vì chỉ đi phá hủy, chúng ta sẽ làm ra những thứ mà có thể có lợi, và một ngày nào đó FDA sẽ cho phép ta làm phô mai Pháp. 
So therefore, we have these two metabolisms, and I worked with a German chemist, Michael Braungart, and we've identified the two fundamental metabolisms. 	Vì vậy, chúng ta có hai vòng tuần hoàn, và tôi làm việc với nhà hóa học Đức, Michael Braungart, và chúng tôi đã xác định hai vòng cơ bản. 
The biological one I'm sure you understand, but also the technical one, where we take materials and put them into closed cycles. 	Cái sinh học tôi tin chắc bạn hiểu, nhưng còn cái kỹ thuật, nơi chúng tôi lấy nguyên liệu và đưa chúng vào chu trình kín. 
We call them biological nutrition and technical nutrition. 	Chúng tôi gọi chúng là dinh dưỡng sinh học và dinh dưỡng kỹ thuật 
Technical nutrition will be in an order of magnitude of biological nutrition. 	Dinh dưỡng kỹ thuật sẽ theo thứ tự của dinh dưỡng sinh học 
Biological nutrition can supply about 500 million humans, which means that if we all wore Birkenstocks and cotton, the world would run out of cork and dry up. 	Dinh dưỡng sinh học chỉ có thể cung cấp cho khoảng 500 triệu người, có nghĩa là nếu tất cả chúng ta đều dùng xăng đan và cotton, thế giới sẽ hết vật liệu và khô cạn. 
So we need materials in closed cycles, but we need to analyze them down to the parts per million for cancer, birth defects, mutagenic effects, disruption of our immune systems, biodegradation, persistence, heavy metal content, knowledge of how we're making them and their production and so on. 	Vì vậy, ta cần vật liệu trong chu trình kín nhưng ta cần phân tích chúng tới phần triệu cho các nguy cơ gây ung thư, dị tật bẩm sinh, đột biến, giảm hệ thống miễn dịch, phân hủy sinh học, độ bền, thành phần kim loại nặng, kiến thức về cách sản xuất chúng và tương tự. 
Our first product was a textile where we analyzed 8,000 chemicals in the textile industry. 	Sản phẩm đầu tiên của chúng tôi là loại vải, chúng tôi đã phân tích 8.000 hóa chất trong ngành dệt may. 
Using those intellectual filters, we eliminated [7,962.] We were left with 38 chemicals. 	Sử dụng các bộ lọc thông minh, chúng tôi đã loại bỏ 7.962 chất Chúng tôi còn lại với 38 hóa chất. 
We have since databased the 4000 most commonly used chemicals in human manufacturing, and we're releasing this database into the public in six weeks. 	Từ đó, chúng tôi đã xác định 4000 hóa chất được dùng nhiều nhất trong sản xuất và chúng tôi sẽ công bố dữ liệu này trong sáu tuần. 
So designers all over the world can analyze their products down to the parts per million for human and ecological health. 	Để các nhà thiết kế trên thế giới có thể phân tích sản phẩm của họ xuống tới một phần triệu để bảo vệ sức khỏe con người và sinh thái 
(Applause) We've developed a protocol so that companies can send these same messages all the way through their supply chains, because when we asked most companies we work with -- about a trillion dollars -- and say, "Where does your stuff come from?" They say, "Suppliers." 	(Vỗ tay) Chúng tôi đã phát triển một giao thức để các công ty có thể gửi những yêu cầu giống nhau xuyên suốt chuỗi cung ứng của họ, bởi vì khi chúng tôi hỏi các công ty nghìn tỷ đô hợp tác cùng và hỏi "Các thứ này từ đâu?" 
"And where does it go?" 	Họ nói "Nhà cung cấp" "Và nó đi đâu?" 
"Customers." 	"Đến khách hàng." 
So we need some help there. 	Nên chúng tôi cần chút giúp đỡ 
So the biological nutrients, the first fabrics -- the water coming out was clean enough to drink. 	Trong loại vải đầu tiên chứa các chất - nước tách ra đủ sạch để uống 
Technical nutrients -- this is for Shaw Carpet, infinitely reusable carpet. 	Về phần kỹ thuật - đây là từ Shaw Carpet: thảm tái sử dụng vô hạn. 
Here's nylon going back to caprolactam back to carpet. 	Đây là cách nylon quay về dạng caprolactam và lại thành thảm. 
Biotechnical nutrients -- the Model U for Ford Motor, a cradle to cradle car -- concept car. 	Chất từ công nghệ sinh học - xe phiên bản U của Ford Motor, làm theo ý tưởng tái tạo của "nôi trong nôi" 
Shoes for Nike, where the uppers are polyesters, infinitely recyclable, the bottoms are biodegradable soles. 	Giày của Nike, phần trên là polyesters, có thể tái chế vô hạn, đáy thì có thể phân hủy sinh học. 
Wear your old shoes in, your new shoes out. 	Mang giày cũ vào, giày mới ra. 
There is no finish line. 	Không có kết thúc 
The idea here of the car is that some of the materials go back to the industry forever, some of the materials go back to soil -- it's all solar-powered. 	Ý tưởng của chiếc xe là một số vật liệu ở trong công nghiệp mãi mãi, một số vật liệu trở lại đất tất cả đều chạy bằng năng lượng mặt trời. 
Here's a building at Oberlin College we designed that makes more energy than it needs to operate and purifies its own water. 	Đây là một tòa nhà tại Oberlin College chúng tôi thiết kế tạo ra nhiều năng lượng hơn lượng cần để hoạt động và tự làm sạch nước 
Here's a building for The Gap, where the ancient grasses of San Bruno, California, are on the roof. 	Đây là một tòa nhà của The Gap ở San Bruno, California có những thảm cỏ trên mái nhà. 
And this is our project for Ford Motor Company. 	Và đây là dự án đề ra cho Ford: 
It's the revitalization of the River Rouge in Dearborn. 	sự hồi sinh của River Rouge ở Dearborn 
This is obviously a color photograph. 	Đây rõ ràng là một bức ảnh màu. 
These are our tools. These are how we sold it to Ford. 	Đây là những công cụ của chúng tôi Đây là cách chúng tôi bán nó cho Ford. 
We saved Ford 35 million dollars doing it this way, day one, which is the equivalent of the Ford Taurus at a four percent margin of an order for 900 million dollars worth of cars. 	Chúng tôi giữ cho Ford 35 triệu đô la theo cách này, ngày một, tức là tương đương với chiếc Ford Taurus trong khoảng 4% của một đơn đặt hàng cho những chiếc xe trị giá 900 triệu đô la 
Here it is. It's the world's largest green roof, 10 and a half acres. 	Và đây chính là mái nhà xanh lớn nhất thế giới - 10,5 hecta 
This is the roof, saving money, and this is the first species to arrive here. These are killdeer. 	Đây là mái nhà, tiết kiệm tiền, và đây là loài đầu tiên đến đây Đây là chim cút 
They showed up in five days. 	Chúng xuất hiện trong năm ngày 
And we now have 350-pound auto workers learning bird songs on the Internet. 	Và chúng tôi hiện có 350 - pound công nhân tự động học tiếng chim hót trên Internet. 
We're developing now protocols for cities -- that's the home of technical nutrients. 	Giao thức cho các thành phố hiện đang được phát triển - nhà của các chất kỹ thuật. 
The country -- the home of biological. And putting them together. 	Vùng quê - nhà của sinh học. Và đặt chúng lại với nhau. 
And so I will finish by showing you a new city we're designing for the Chinese government. 	Và tôi sẽ kết lại với một thành phố mới mà chúng tôi đang thiết kế cho chính phủ Trung Quốc. 
We're doing 12 cities for China right now, based on cradle to cradle as templates. 	Chúng tôi làm cho 12 thành phố của Trung Quốc lúc này, dựa trên ý tưởng "nôi trong nôi" 
Our assignment is to develop protocols for the housing for 400 million people in 12 years. 	Nhiệm vụ của chúng tôi là phát triển các giao thức cho nhà ở cho 400 triệu người trong 12 năm. 
We did a mass energy balance -- if they use brick, they will lose all their soil and burn all their coal. 	Chúng tôi đã tính về năng lượng: nếu họ sử dụng gạch họ sẽ mất hết đất và đốt hết than. 
They'll have cities with no energy and no food. 	Các thành phố sẽ không năng lượng và thức ăn 
We signed a Memorandum of Understanding -- here's Madam Deng Nan, Deng Xiaoping's daughter -- for China to adopt cradle to cradle. 	Chúng tôi đã ký Biên bản ghi nhớ - đây là Đặng Nan, con gái Đặng Tiểu Bình - cho Trung Quốc thông qua "nôi trong nôi" 
Because if they toxify themselves, being the lowest-cost producer, send it to the lowest-cost distribution -- Wal-Mart -- and then we send them all our money, what we'll discover is that we have what, effectively, when I was a student, was called mutually assured destruction. 	Bởi vì nếu họ tự đầu độc, khi làm nhà sản xuất chi phí thấp nhất, gửi nó đến phân phối rẻ nhất - Walmart - và sau đó chúng tôi gửi cho họ tất cả tiền điều chúng tôi nhận được, chúng tôi có điều mà lúc tôi còn là một sinh viên, được gọi là hủy diệt lẫn nhau. 
Now we do it by molecule. These are our cities. 	Giờ chúng tôi làm bằng phân tử Đây là thành phố của chúng tôi 
We're building a new city next to this city; look at that landscape. 	Chúng tôi đang xây một thành phố mới cạnh thành phố này; nhìn vào cảnh quan 
This is the site. 	Đây là cảnh vật. 
We don't normally do green fields, but this one is about to be built, so they brought us in to intercede. 	Chúng tôi thường không làm các đồng xanh, nhưng cái này sắp được xây dựng, Vì vậy, họ đưa chúng tôi vào để xem xét. 
This is their plan. 	Đây là kế hoạch của họ. 
It's a rubber stamp grid that they laid right on that landscape. 	Đây là một lưới tem cao su mà họ đặt ngay trên cảnh quan đó 
And they brought us in and said, "What would you do?" 	Và họ đưa chúng tôi vào và nói, "Bạn sẽ làm gì?" 
This is what they would end up with, which is another color photograph. 	Đây là những gì họ thu được, một bức ảnh màu khác 
So this is the existing site, so this is what it looks like now, and here's our proposal. 	Đây là hình ảnh quang cảnh hiện giờ và đây là đề nghị của chúng tôi. 
(Applause) So the way we approached this is we studied the hydrology very carefully. 	(Vỗ tay, tiếng cười) Cách chúng tôi tiếp cận điều này là chúng tôi xem xét thủy văn rất cẩn thận 
We studied the biota, the ancient biota, the current farming and the protocols. 	Chúng tôi đã nghiên cứu hệ sinh thái cổ đại nông nghiệp hiện tại và các giao thức 
We studied the winds and the sun to make sure everybody in the city will have fresh air, fresh water and direct sunlight in every single apartment at some point during the day. 	Cũng như gió và mặt trời để đảm bảo mọi người trong thành phố sẽ có khí sạch, nước sạch và ánh sáng mặt trời trực tiếp trong mọi căn hộ tại một thời điểm nào đó trong ngày. 
We then take the parks and lay them out as ecological infrastructure. 	Sau đó chúng tôi làm các công viên và coi chúng là cơ sở hạ tầng sinh thái 
We lay out the building areas. 	Chúng tôi bố trí các khu vực xây dựng. 
We start to integrate commercial and mixed use so the people all have centers and places to be. 	Tích hợp thương mại và các ý nghĩa khác Vì vậy, mọi người đều có trung tâm và địa điểm để dùng 
The transportation is all very simple, everybody's within a five-minute walk of mobility. 	Việc di chuyển rất đơn giản, mọi người đều có thể đi bộ tới mọi nơi trong 5 phút 
We have a 24-hour street, so that there's always a place that's alive. 	Chúng tôi có con phố hoạt động 24/7, để luôn có một nơi làm việc. 
The waste systems all connect. 	Các hệ thống chất thải đều kết nối. 
If you flush a toilet, your feces will go to the sewage treatment plants, which are sold as assets, not liabilities. 	Sau khi bạn xả nước, phân của bạn sẽ đi đến các nhà máy xử lý nước thải, được bán như tài sản, không phải nợ. 
Because who wants the fertilizer factory that makes natural gas? 	Bởi vì ai muốn nhà máy phân bón mà làm khí tự nhiên? 
The waters are all taken in to construct the wetlands for habitat restorations. 	Nước được dùng để xây lại các vùng ngập nước để phục hồi môi trường sống 
And then it makes natural gas, which then goes back into the city to power the fuel for the cooking for the city. 	Sau đó nó tạo ra khí tự nhiên, và rồi quay trở lại thành phố để cung cấp nhiên liệu cho việc nấu ăn cho thành phố. 
So this is -- these are fertilizer gas plants. 	Đây là những nhà máy phân bón khí 
And then the compost is all taken back to the roofs of the city, where we've got farming, because what we've done is lifted up the city, the landscape, into the air to -- to restore the native landscape on the roofs of the buildings. 	Và sau đó tất cả phân ủ được lấy lại đến các mái nhà của thành phố, nơi chúng tôi cho trồng trọt bởi vì những gì chúng tôi làm là nâng cảnh quan thành phố lên cao hơn để khôi phục lại cảnh quan bản địa lên trên mái của các tòa nhà. 
The solar power of all the factory centers and all the industrial zones with their light roofs powers the city. 	Năng lượng mặt trời từ các trung tâm nhà máy và các khu công nghiệp với mái nhà sẽ cung cấp năng lượng cho thành phố. 
And this is the concept for the top of the city. 	Đây là ý tưởng cho phần trên của thành phố. 
We've lifted the earth up onto the roofs. 	Chúng tôi đã cho đất lên mái nhà 
The farmers have little bridges to get from one roof to the next. 	Nông dân sẽ có những cây cầu nhỏ để đi từ mái nhà này sang mái nhà khác 
We inhabit the city with work/live space on all the ground floors. 	Ta sẽ sống với không gian làm việc / sinh hoạt ở các tầng trệt 
And so this is the existing city, and this is the new city. 	Và đây là thành phố hiện giờ, và đây là thành phố mới. 
